id,course
1,"Other"
2,"Pols"
3,"SSDS"
4,"SSDS"
5,"SocSS"
6,"SSDS"
7,"Other"
8,"SSDS"
9,"SSDS"
10,"SSDS"
11,"SocSS"
12,"SSDS"
13,"Other"
14,"Pols"
15,"SocSS"
16,"Other"
17,"SSDS"
18,"SocSS"
19,"SSDS"
20,"SSDS"
21,"Pols"
22,"Pols"
23,"SSDS"
24,"SSDS"
25,"Other"
26,"Pols"
27,"SSDS"
28,"Other"
29,"SSDS"
30,"SocSS"
31,"SSDS"
32,"SocSS"
33,"Other"
34,"SocSS"
35,"SSDS"
36,"Pols"
37,"SSDS"
38,"SSDS"
39,"SSDS"
40,"SSDS"
41,"SocSS"
42,"Pols"
43,"SSDS"
44,"Other"
45,"SocSS"
46,"Other"
47,"Other"
48,"Other"
49,"Other"
50,"Pols"
51,"Other"
52,"SSDS"
53,"Pols"
54,"SSDS"
55,"SSDS"
56,"Other"
57,"SocSS"
58,"SSDS"
59,"SocSS"
60,"SSDS"
61,"SSDS"
62,"SSDS"
63,"SSDS"
64,"Other"
65,"Other"
66,"SocSS"
67,"Other"
68,"Other"
69,"Other"
70,"SocSS"
71,"SSDS"
72,"Pols"
73,"SSDS"
74,"Other"
75,"Other"
76,"Pols"
77,"Other"
78,"SocSS"
79,"SocSS"
80,"Pols"
81,"SocSS"
82,"SocSS"
83,"Pols"
84,"Other"
85,"SSDS"
86,"Other"
87,"SocSS"
88,"Pols"
89,"SocSS"
90,"SocSS"
91,"SSDS"
92,"Pols"
93,"SSDS"
94,"Other"
95,"Other"
96,"Other"
97,"Other"
98,"Pols"
99,"Other"
100,"Other"
101,"SSDS"
102,"SSDS"
103,"SSDS"
104,"SSDS"
105,"SSDS"
106,"SocSS"
107,"Pols"
108,"Pols"
109,"Other"
110,"Other"
111,"SSDS"
112,"Other"
113,"SocSS"
114,"SSDS"
